code,system
1453.00,readv2
D1...00,readv2
Dyu1.00,readv2
100022.0,med
100388.0,med
104454.0,med
107820.0,med
110176.0,med
15314.0,med
21369.0,med
22531.0,med
26437.0,med
27771.0,med
28238.0,med
29323.0,med
29933.0,med
31107.0,med
31662.0,med
31734.0,med
31800.0,med
32373.0,med
35612.0,med
3818.0,med
38327.0,med
39164.0,med
39682.0,med
39876.0,med
39944.0,med
40545.0,med
43367.0,med
44381.0,med
45944.0,med
46322.0,med
47598.0,med
48096.0,med
49182.0,med
49451.0,med
49822.0,med
50495.0,med
52522.0,med
5434.0,med
55561.0,med
57298.0,med
57575.0,med
61665.0,med
63936.0,med
64468.0,med
64619.0,med
67088.0,med
71808.0,med
7237.0,med
7526.0,med
7624.0,med
91034.0,med
D10..00,readv2
D101.00,readv2
D101.11,readv2
D10z.00,readv2
D100.00,readv2
D11z000,readv2
D100.11,readv2
D100.12,readv2
D107000,readv2
D111000,readv2
D111100,readv2
D111500,readv2
D112012,readv2
D11z100,readv2
D1z..00,readv2
D102.00,readv2
D103300,readv2
D102000,readv2
Q430000,readv2
D102100,readv2
D102200,readv2
D103z00,readv2
D103000,readv2
D103100,readv2
D107.00,readv2
D107100,readv2
D107200,readv2
D107300,readv2
D107400,readv2
D107500,readv2
D107600,readv2
D107700,readv2
D107y00,readv2
D107z00,readv2
D112000,readv2
D112011,readv2
D112z12,readv2
Dyu1300,readv2
D10y.00,readv2
D10yz00,readv2
D1y..00,readv2
D10y000,readv2
D11..00,readv2
D11z.00,readv2
D110.00,readv2
D110400,readv2
D110z00,readv2
D111.00,readv2
D111y00,readv2
D111z00,readv2
Dyu1500,readv2
D110.11,readv2
D110000,readv2
D110200,readv2
D112200,readv2
D112z11,readv2
D110100,readv2
D111300,readv2
D111400,readv2
D112.00,readv2
D112z00,readv2
D112100,readv2
D112z13,readv2
Q430.00,readv2
Q430z00,readv2
103151.0,med
103252.0,med
14698.0,med
1529.0,med
18631.0,med
21335.0,med
31462.0,med
3326.0,med
39456.0,med
39967.0,med
45935.0,med
57897.0,med
70762.0,med
72721.0,med
87112.0,med
94214.0,med
99308.0,med
99917.0,med
D55,icd10
D58,icd10
D59,icd10
